ssid,bssid,encryption,vendor,longitude,latitude
o2-WLAN57,a0:e4:cb:8d:21:cd,"",ZyXEL Communications Corporation,8.6423533,49.8706664
HOME,5c:49:79:34:07:40,[WPA2-PSK-CCMP][WPS][ESS],AVM Audiovisuelles Marketing und Computersysteme GmbH,8.65358418048042,49.8812041336542
skynet,1c:1d:86:0e:6f:a7,"","Cisco Systems, Inc",8.638884,49.871625
Invoking,a0:e4:cb:99:83:e4,"",ZyXEL Communications Corporation,8.6455264,49.8654804
Hartte,58:6d:8f:90:03:93,[WPA2-PSK-CCMP][ESS],"Cisco-Linksys, LLC",8.65799294851404,49.8681815163002
OnAir,a0:cf:5b:c3:38:e0,"","Cisco Systems, Inc",8.660762,49.88927
Telekom_FON,00:0e:8f:4f:81:14,[ESS],Sercomm Corp.,8.6560549093436,49.8615108585895
NETGEAR73,c4:04:15:88:88:51,"",NETGEAR,8.6455194,49.8674555
Telekom_FON,d4:21:22:a5:07:3c,[ESS],Sercomm Corporation,8.66313974310574,49.8693441551453
EasyBox-3A1D04,18:83:bf:3a:1d:62,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Arcadyan Technology Corporation,8.64687960724209,49.858814814203
KEDV Tim HS,c8:0e:14:31:4b:bf,"",AVM Audiovisuelles Marketing und Computersysteme GmbH,8.6379725,49.8689436
chaos-wg,9c:c7:a6:b4:79:46,"",AVM GmbH,8.6455378,49.8684379
Die Babo Konnektion,6c:b0:ce:ee:89:77,"",NETGEAR,8.6396771,49.875504
EasyBox-765653,94:4a:0c:c7:b0:7c,"",Sercomm Corporation,8.6345201,49.868419
Telekom_FON,5c:dc:96:43:89:4a,"",Arcadyan Technology Corporation,8.6768102,49.8683484
EasyBox-727863,94:4a:0c:34:2e:66,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],Sercomm Corporation,8.64567500144297,49.8796354013223
HF3P,00:15:0c:46:43:29,"",AVM GmbH,8.6369001,49.8695561
m3r0,c0:25:06:45:ae:16,"",AVM GmbH,8.6657724,49.8755047
FRITZ!Box 7362 SL,08:96:d7:3a:59:2b,"",AVM GmbH,8.6665888,49.8695366
THUISNET-SLOW,84:1b:5e:4e:99:b3,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],NETGEAR,8.64357692188224,49.8783149803039
Home,e8:de:27:37:e2:12,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.66229328006852,49.874231781031
h_da,00:0b:0e:3f:3d:c3,"",Trapeze Networks,8.6360046,49.8668737
UPC2761006,88:f7:c7:51:76:18,"",Technicolor CH USA Inc.,8.6450244,49.8694898
dlink,6c:19:8f:07:a8:90,[WPS][ESS],D-Link International,8.64033966495141,49.8866098206546
slonik,5c:49:79:4e:29:ca,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],AVM Audiovisuelles Marketing und Computersysteme GmbH,8.64329817442063,49.8606321480549
eduroam,a4:6c:2a:37:36:83,[WPA2-EAP-CCMP][ESS],"Cisco Systems, Inc",8.65936863123643,49.8757766418793
SK42,00:1b:2f:f4:2a:68,[WPA2-PSK-CCMP-preauth][ESS],NETGEAR,8.65528980588977,49.8823265360772
FritzBox6490,c8:0e:14:8a:a2:1c,[WPA2-PSK-CCMP][WPS][ESS],AVM Audiovisuelles Marketing und Computersysteme GmbH,8.65062643027525,49.8762625989284
WLAN-A65C45,1c:c6:3c:a6:5c:c4,"",Arcadyan Technology Corporation,8.6450796,49.871953
EasyBox-0C7C38,1c:c6:3c:0c:7c:90,"",Arcadyan Technology Corporation,8.6410833,49.8639243
EasyBox-856220,9c:80:df:85:62:be,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],Arcadyan Technology Corporation,8.66047209564308,49.8779989027442
EPS Global,74:31:70:be:5f:52,"",Arcadyan Technology Corporation,8.6423533,49.8706664
WLAN-A5F042,1c:c6:3c:a5:f0:d6,"",Arcadyan Technology Corporation,8.6416532,49.8667472
HundM,00:50:7f:6f:8c:d8,WPA2-PSK-CCMP,DrayTek Corp.,8.664353,49.880156
WLAN-966263,4c:09:d4:8f:5e:c3,"",Arcadyan Technology Corporation,8.6345201,49.868419
EasyBox-Farideh,4c:09:d4:c3:95:4c,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Arcadyan Technology Corporation,8.64452940692311,49.8631795690085
TUDWeb,34:a8:4e:9a:43:1f,"","Cisco Systems, Inc",8.67942416,49.86197241
HP-Print-6B-Officejet Pro 8620,c4:34:6b:10:f9:6b,[WPA2-PSK-CCMP][ESS],Hewlett Packard,8.65148329518496,49.8665820362989
FRITZ!Box Fon WLAN,00:04:0e:77:25:38,WPA2-PSK-CCMP,AVM GmbH,8.660753,49.881274
UPC2605319,80:3f:5d:8f:64:4f,WPA2-PSK-CCMP,Winstars Technology Ltd,8.661272,49.877123
UPC3572699,88:f7:c7:dd:18:92,"",Technicolor CH USA Inc.,8.6396914,49.8646359
frisia,bc:ee:7b:c4:61:10,"",ASUSTek COMPUTER INC.,8.666625775,49.8756175
goethe2008_EXT,e8:de:27:e2:d4:b0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],"TP-LINK TECHNOLOGIES CO.,LTD.",8.6477975533165,49.8809129730866
FRITZ!Box 7362 SL,34:81:c4:2e:a4:b5,[WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.65067328977507,49.8830124305381
FRITZ!Box 7490,34:31:c4:c0:b6:d1,[WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.65666209433827,49.8604448024032
HBMopen,28:80:23:25:4c:92,[ESS],Hewlett Packard,8.64198400697506,49.8851817294607
TUDWeb,34:6f:90:2c:f1:12,"","Cisco Systems, Inc",8.6575731,49.8759942
FRITZ!Box Fon WLAN 7113,bc:05:43:81:a0:01,"",AVM GmbH,8.6439093,49.870338
TUDWeb,58:bf:ea:61:f7:a2,"","Cisco Systems, Inc",8.656844,49.8762877
Laika und Kurt,1c:c6:3c:21:f2:88,"",Arcadyan Technology Corporation,8.6616863,49.8780547
ROBERTG�STEN-PC_Network,bc:f6:85:3d:c0:c2,"",D-Link International,8.6595068,49.87337235
NSAJammer,c0:4a:00:76:18:66,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6624192,49.8693794
WelcomeHotels,c8:00:84:85:56:e2,[ESS],"Cisco Systems, Inc",8.65691581023994,49.8756048183836
